t_s,v_linear_mps,v_angular_radps,target
-0.4539,-0.00000,-0.00000,0.00000
-0.4034,-0.00000,-0.00000,0.00000
-0.3529,-0.00000,-0.00000,0.00000
-0.3025,-0.00000,-0.00000,0.00000
-0.2521,-0.00000,-0.00000,0.00000
-0.2017,-0.00000,-0.00000,0.00000
-0.1514,-0.00000,-0.00000,0.00000
-0.1010,-0.00000,-0.00000,0.00000
-0.0506,-0.00000,-0.00000,0.00000
-0.0003,-0.00000,-0.00000,0.00000
0.0501,-0.00000,-0.00000,0.15000
0.1005,-0.00000,-0.00000,0.15000
0.1509,-0.00000,-0.00000,0.15000
0.2012,0.05204,0.04957,0.15000
0.2516,0.10927,0.28856,0.15000
0.3019,0.12751,0.26048,0.15000
0.3525,0.14690,0.10849,0.15000
0.4029,0.15840,0.04347,0.15000
0.4533,0.16801,0.01782,0.15000
0.5036,0.17320,0.02411,0.15000
0.5543,0.17825,0.03203,0.15000
0.6046,0.18114,0.02937,0.15000
0.6550,0.18552,0.03503,0.15000
0.7054,0.18704,0.02685,0.15000
0.7560,0.18816,0.02568,0.15000
0.8064,0.18873,0.02626,0.15000
0.8568,0.18841,0.03117,0.15000
0.9072,0.18634,0.02325,0.15000
0.9578,0.18571,0.03293,0.15000
1.0082,0.18382,0.03950,0.15000
1.0586,0.18149,0.05497,0.15000
1.1089,0.17963,0.07138,0.15000
1.1596,0.17727,0.06072,0.15000
1.2100,0.17717,0.03944,0.15000
1.2604,0.17768,0.02031,0.15000
1.3107,0.17680,0.01394,0.15000
1.3612,0.17653,0.01618,0.15000
1.4116,0.17543,0.02331,0.15000
1.4619,0.17441,0.02446,0.15000
1.5123,0.17440,0.01597,0.15000
1.5629,0.17405,0.01397,0.15000
1.6132,0.17422,0.02223,0.15000
1.6636,0.17536,0.01839,0.15000
1.7139,0.17584,0.02269,0.15000
1.7144,0.17453,0.04693,0.15000
1.7647,0.17332,0.05775,0.15000
1.8150,0.17135,0.05154,0.15000
1.8652,0.16924,0.06571,0.15000
1.9157,0.16659,0.06504,0.15000
1.9659,0.16651,0.04555,0.15000
2.0162,0.16502,0.02930,0.00000
2.0666,0.16534,0.00467,0.00000
2.1173,0.16264,0.00451,0.00000
2.1677,0.15229,0.00050,0.00000
2.2182,0.10281,-0.03447,0.00000
2.2685,0.06329,-0.03626,0.00000
2.3188,0.01959,-0.00275,0.00000
2.3691,0.00806,0.00264,0.00000
2.4194,0.00151,-0.00599,0.00000
2.4698,0.00074,-0.00293,0.00000
2.5202,0.00025,-0.00101,0.00000
2.5706,0.00012,-0.00049,0.00000
2.6209,0.00004,-0.00017,0.00000
2.6713,0.00002,-0.00008,0.00000
2.7216,0.00001,-0.00003,0.00000
2.7720,0.00000,-0.00001,0.00000
2.8224,0.00000,-0.00000,0.00000
2.8728,0.00000,-0.00000,0.00000
2.9232,0.00000,-0.00000,0.00000
2.9735,0.00000,-0.00000,0.00000
3.0239,0.00000,-0.00000,0.00000
