pwm,direction,v_left_mps,v_right_mps,v_left_std,v_right_std,n_samples,dt_elapsed_s
110,fwd,5.2822296060369463e-23,-2.5300362148616398e-30,1.078913659263044e-22,4.046659081043523e-30,13,0.6106226600022637
115,fwd,7.580181687630127e-34,-1.657343012733907e-40,1.5482783148093266e-33,3.37769380871954e-40,13,0.609104394003225
120,fwd,1.1763092166585114e-44,7.408018227747924e-46,2.1789267437452905e-44,6.372249363493849e-46,13,0.6111412649988779
125,fwd,-6.972576172824092e-11,0.003548034084266354,2.184787419221954e-10,0.0041625301825997125,14,0.6105404720001388
130,fwd,-1.540082420867255e-05,0.023005006592577468,0.0003607373655060345,0.005823580754290024,13,0.6123888270012685
135,fwd,0.0026778807069819696,0.03212144364158695,0.00410110777517284,0.0056580384424511874,13,0.6118760340032168
140,fwd,0.03732060822257056,0.0585416772263841,0.008096577630761166,0.009000757857384498,13,0.6103585090022534
145,fwd,0.04780819310035024,0.08450244058029992,0.009487963008760938,0.007113082544519985,14,0.6107475790049648
150,fwd,0.07387140142874649,0.09570578678797645,0.015830516238539132,0.011124106564139988,13,0.6103624329989543
155,fwd,0.08920179487277681,0.1151761864598554,0.013089540684164576,0.010896809425333285,13,0.6109415019964217
160,fwd,0.12965537111948316,0.14645389332765568,0.006416856748927218,0.00580747041548428,13,0.6056558950003819
165,fwd,0.15697435383670608,0.18271152179917463,0.006188475283246711,0.0019037443839317013,13,0.6105898539972259
170,fwd,0.18475834835094535,0.20382568643255425,0.0062244302859714076,0.005388625372222825,14,0.6106963150014053
175,fwd,0.20771162834276374,0.22451662738764516,0.004178217143230295,0.002996002303705356,13,0.6103280759998597
180,fwd,0.22894138233406613,0.24905737411130507,0.010024813126489765,0.00855977705546041,13,0.6111938829999417
185,fwd,0.25929855286172376,0.27123797495534213,0.006088563442363834,0.005822100287061744,13,0.6104298700010986
190,fwd,0.2779696853715353,0.2955422223160187,0.010774179634304902,0.007490607148461742,13,0.6102022970007965
195,fwd,0.30343729524002766,0.3160226914466788,0.01519927815945905,0.010389131278014283,13,0.6106814770027995
200,fwd,0.3280774054857544,0.34384915711694897,0.013457679013405027,0.012379596927600286,13,0.6112459719952312
205,fwd,0.3635745265747134,0.3709034840063765,0.005992029826854267,0.005935791419037106,13,0.6077314810027019
210,fwd,0.3959843739444175,0.4046797024938994,0.005401416239904457,0.0027166377418065073,13,0.6098691849983879
215,fwd,0.42229692303958083,0.42768249888255794,0.0055322062215909466,0.005355417483170118,14,0.6104694200039376
220,fwd,0.4483159170392811,0.45229801446988355,0.005368433520743855,0.006523443113288983,13,0.6101207180035999
225,fwd,0.4725620250657823,0.47454992999004136,0.008735665123414922,0.007480802454149852,13,0.6113353740001912
230,fwd,0.49846251354672805,0.5020557946893207,0.009367517717017226,0.007657371854223279,13,0.6115433719969587
235,fwd,0.521354022816849,0.5259505157632386,0.010990816282167993,0.009045301260209014,13,0.6111092999999528
240,fwd,0.5396240880404097,0.543286770627404,0.01452579911215003,0.013329506338606198,13,0.609792125003878
245,fwd,0.5589450869604435,0.5610776042527241,0.015026522539603094,0.013633972279929059,13,0.6110214110012748
250,fwd,0.5790612527107002,0.5790002058035868,0.0074410057540836355,0.006863203385854197,13,0.6103081010005553
255,fwd,0.585059949835726,0.5841035326940505,0.007300179559618447,0.006889761814984857,14,0.6453125369953341
0,rev,0.09096255090474509,0.1242558740355934,0.07787998590496872,0.07681099643754283,13,0.6104908190027345
-5,rev,6.735083033420508e-11,6.696947925031998e-10,1.532698008497882e-10,1.5240197908884527e-09,14,0.6107595950015821
-10,rev,3.960872393274448e-22,3.938452226987824e-21,8.0902195629502e-22,8.044424790754463e-21,13,0.6100664879995747
-15,rev,5.683986089836118e-33,5.651814400675117e-32,1.1609737170529505e-32,1.154402620592276e-31,13,0.6112168300023768
-20,rev,8.1454542394036e-44,8.108492028121821e-43,1.6672623169631706e-43,1.6567368299456707e-42,13,0.6058051319996594
