t_s,v_linear_mps,v_angular_radps,gyro_z_radps,target
-0.4552,0.00000,0.00000,0.00109,0.00000
-0.4049,0.00000,0.00000,0.00218,0.00000
-0.3546,0.00000,0.00000,-0.00109,0.00000
-0.3043,0.00000,0.00000,-0.00109,0.00000
-0.2540,0.00000,0.00000,-0.00000,0.00000
-0.2016,0.00000,0.00000,0.00218,0.00000
-0.1512,0.00000,0.00000,0.00109,0.00000
-0.1009,0.00000,0.00000,-0.00000,0.00000
-0.0505,0.00000,0.00000,-0.00000,0.00000
-0.0001,0.00000,0.00000,0.00218,0.00000
0.0502,0.00000,0.00000,0.00109,2.00000
0.1005,0.00000,0.00000,0.00109,2.00000
0.1509,0.00000,0.00000,-0.00109,2.00000
0.2012,-0.00057,0.17663,-0.00109,2.00000
0.2516,-0.00205,1.03522,0.02509,2.00000
0.3020,0.00220,1.99677,0.62941,2.00000
0.3523,0.00456,2.45014,0.94357,2.00000
0.4030,0.00726,2.83603,1.02865,2.00000
0.4534,0.01207,2.98218,1.05702,2.00000
0.5038,0.02223,3.10006,1.10828,2.00000
0.5541,0.02527,3.14435,1.16173,2.00000
0.6048,-0.02255,2.64317,1.22609,2.00000
0.6551,-0.01962,2.64666,0.95448,2.00000
0.7056,-0.00689,2.82008,0.95884,2.00000
0.7559,-0.01948,2.74360,1.13883,2.00000
0.8066,-0.07830,2.23672,1.13010,2.00000
0.8569,-0.11079,1.81163,0.78103,2.00000
0.9073,-0.13126,1.45742,0.56178,2.00000
0.9577,-0.14292,1.38989,0.49415,2.00000
1.0084,-0.15313,1.47349,0.52578,2.00000
1.0588,-0.15660,1.53565,0.54760,2.00000
1.1092,-0.15446,1.54303,0.63050,2.00000
1.1596,-0.15068,1.50420,0.59123,2.00000
1.2103,-0.14771,1.48524,0.55741,2.00000
1.2607,-0.14658,1.49867,0.55960,2.00000
1.3111,-0.14227,1.54078,0.60650,2.00000
1.3614,-0.13346,1.62674,0.56723,2.00000
1.4121,-0.11534,1.74931,0.65341,2.00000
1.4624,-0.09947,1.85427,0.71886,2.00000
1.5129,-0.07668,2.07412,0.80394,2.00000
1.5633,-0.06322,2.22481,0.88030,2.00000
1.6139,-0.04485,2.49220,0.98175,2.00000
1.6643,-0.02980,2.62339,1.08538,2.00000
1.7147,-0.00637,2.86201,1.18355,2.00000
1.7655,0.01082,2.95217,1.16283,2.00000
1.8162,0.02897,3.06139,1.18464,2.00000
1.8666,0.03133,3.10001,1.28282,2.00000
1.9169,0.02408,3.15113,1.32972,2.00000
1.9673,0.01860,3.16962,1.37554,2.00000
2.0179,0.02336,3.20047,1.35154,2.00000
2.0681,0.03315,3.18411,1.23482,2.00000
2.1184,0.04583,3.17137,1.24246,2.00000
2.1689,0.04347,3.16187,1.29809,2.00000
2.2194,0.02864,3.18545,1.33190,2.00000
2.2698,0.02026,3.23430,1.37117,2.00000
2.3201,0.02399,3.26397,1.34063,2.00000
2.3704,0.03946,3.23630,1.25227,2.00000
2.4210,0.06188,3.24495,1.07556,2.00000
2.4713,0.05934,3.26975,1.05920,2.00000
2.5217,0.03428,3.22792,1.29373,2.00000
2.5720,0.01606,3.27448,1.45408,2.00000
2.6225,0.01287,3.34134,1.49553,2.00000
2.6727,0.04271,3.17650,1.15083,2.00000
2.7230,0.10501,2.79932,0.69813,2.00000
2.7734,0.10264,2.82231,0.45706,2.00000
2.8239,0.07446,2.83561,0.82030,2.00000
2.8743,0.08487,2.58427,1.09738,2.00000
2.9247,0.13070,2.07524,1.22391,2.00000
2.9752,0.15818,1.91711,0.89339,2.00000
3.0257,0.19092,1.94594,0.27707,0.00000
3.0760,0.20465,2.04577,0.06000,0.00000
3.1263,0.20692,2.06557,0.10581,0.00000
3.1766,0.19872,1.98302,0.36107,0.00000
3.2269,0.15008,1.44162,0.59232,0.00000
3.2773,0.10455,0.89611,0.46578,0.00000
3.3276,0.04640,0.18782,-0.00436,0.00000
3.3780,0.02450,-0.02591,-0.09817,0.00000
3.4284,0.00367,-0.09202,0.01091,0.00000
3.4787,-0.00249,-0.07984,-0.06000,0.00000
3.5292,-0.00238,-0.04266,0.00436,0.00000
3.5796,-0.00117,-0.02090,-0.00436,0.00000
3.6300,-0.00040,-0.00717,-0.00109,0.00000
3.6804,-0.00020,-0.00351,-0.00000,0.00000
3.7307,-0.00007,-0.00120,0.00109,0.00000
3.7811,-0.00003,-0.00059,0.00218,0.00000
3.8315,-0.00001,-0.00020,0.00109,0.00000
3.8818,-0.00001,-0.00010,-0.00000,0.00000
3.9322,-0.00000,-0.00003,0.00218,0.00000
3.9826,-0.00000,-0.00002,0.00109,0.00000
4.0330,-0.00000,-0.00001,-0.00000,0.00000
