t_s,v_linear_mps,v_angular_radps,target
-0.4534,-0.00000,-0.00000,0.00000
-0.4031,-0.00000,-0.00000,0.00000
-0.3528,-0.00000,-0.00000,0.00000
-0.3025,-0.00000,-0.00000,0.00000
-0.2522,-0.00000,-0.00000,0.00000
-0.2019,-0.00000,-0.00000,0.00000
-0.1517,-0.00000,-0.00000,0.00000
-0.1013,-0.00000,-0.00000,0.00000
-0.0510,-0.00000,-0.00000,0.00000
-0.0005,-0.00000,-0.00000,0.00000
0.0500,-0.00000,-0.00000,1.00000
0.1003,-0.00000,-0.00000,1.00000
0.1506,-0.00000,-0.00000,1.00000
0.2010,0.00354,0.56402,1.00000
0.2514,0.01430,0.60912,1.00000
0.3017,0.01931,0.35262,1.00000
0.3524,0.01432,0.22122,1.00000
0.4027,0.00906,0.11730,1.00000
0.4531,0.00890,0.10192,1.00000
0.5035,0.01432,0.14738,1.00000
0.5541,0.01770,0.17876,1.00000
0.6045,0.02262,0.22644,1.00000
0.6548,0.02719,0.27163,1.00000
0.7052,0.03195,0.34166,1.00000
0.7558,0.02965,0.43805,1.00000
0.8062,0.02963,0.56334,1.00000
0.8565,0.03045,0.64013,1.00000
0.9069,0.02813,0.72837,1.00000
0.9575,0.02949,0.78480,1.00000
1.0079,0.03136,0.86945,1.00000
1.0583,0.02799,0.93142,1.00000
1.1087,0.02364,1.05870,1.00000
1.1593,0.02706,1.11532,1.00000
1.2097,0.02937,1.17212,1.00000
1.2601,0.06306,0.91050,1.00000
1.3104,0.03408,1.17061,1.00000
1.3611,0.02155,1.45390,1.00000
1.4115,0.06065,1.35836,1.00000
1.4618,0.08758,1.06159,1.00000
1.5121,0.10362,0.74285,1.00000
1.5626,0.11098,0.65458,1.00000
1.6129,0.12355,0.62564,1.00000
1.6632,0.13257,0.66495,1.00000
1.7135,0.14202,0.74538,1.00000
1.7641,0.14459,0.76807,1.00000
1.8145,0.14444,0.75689,1.00000
1.8649,0.14572,0.77769,1.00000
1.9152,0.15034,0.78233,1.00000
1.9659,0.15290,0.78618,1.00000
2.0163,0.15223,0.76588,0.00000
2.0666,0.15016,0.76443,0.00000
2.1170,0.14976,0.81243,0.00000
2.1675,0.15009,0.83396,0.00000
2.2178,0.14951,0.88392,0.00000
2.2682,0.14803,0.88837,0.00000
2.3185,0.14904,0.95251,0.00000
2.3693,0.14780,0.98009,0.00000
2.4196,0.14627,1.00150,0.00000
2.4700,0.14547,1.02177,0.00000
2.5204,0.14525,1.07138,0.00000
2.5711,0.14554,1.11186,0.00000
2.6214,0.14510,1.16190,0.00000
2.6717,0.14547,1.19841,0.00000
2.7220,0.14497,1.27096,0.00000
2.7725,0.14386,1.32186,0.00000
2.8228,0.14248,1.38248,0.00000
2.8731,0.14362,1.41357,0.00000
2.8735,0.14598,1.44965,0.00000
2.9241,0.14630,1.45616,0.00000
2.9744,0.14707,1.46597,0.00000
3.0248,0.14935,1.48923,0.00000
3.0752,0.15380,1.53394,0.00000
3.1258,0.15613,1.55734,0.00000
3.1762,0.14259,1.36632,0.00000
3.2266,0.10500,0.90822,0.00000
3.2770,0.04307,0.21284,0.00000
3.3273,0.01899,-0.00226,0.00000
3.3777,0.00179,-0.09758,0.00000
3.4280,-0.00244,-0.08086,0.00000
3.4783,-0.00112,-0.03053,0.00000
3.5287,-0.00055,-0.01496,0.00000
3.5791,-0.00019,-0.00513,0.00000
3.6294,-0.00009,-0.00251,0.00000
3.6798,-0.00003,-0.00086,0.00000
3.7301,-0.00002,-0.00042,0.00000
3.7805,-0.00001,-0.00014,0.00000
3.8309,-0.00000,-0.00007,0.00000
3.8812,-0.00000,-0.00002,0.00000
3.9316,-0.00000,-0.00001,0.00000
3.9820,-0.00000,-0.00000,0.00000
4.0324,-0.00000,-0.00000,0.00000
