t_s,v_linear_mps,v_angular_radps,target
-0.4533,-0.00000,0.00000,0.00000
-0.4029,-0.00000,0.00000,0.00000
-0.3525,-0.00000,0.00000,0.00000
-0.3021,-0.00000,0.00000,0.00000
-0.2517,-0.00000,0.00000,0.00000
-0.2014,-0.00000,0.00000,0.00000
-0.1512,-0.00000,0.00000,0.00000
-0.1008,-0.00000,0.00000,0.00000
-0.0505,-0.00000,0.00000,0.00000
-0.0002,-0.00000,0.00000,0.00000
0.0501,-0.00000,0.00000,0.15000
0.1005,-0.00000,0.00000,0.15000
0.1509,-0.00000,0.00000,0.15000
0.2012,0.05630,0.13430,0.15000
0.2515,0.08254,0.15697,0.15000
0.3018,0.10999,0.12181,0.15000
0.3524,0.12495,0.07906,0.15000
0.4028,0.13862,0.03162,0.15000
0.4532,0.14464,0.02518,0.15000
0.5035,0.14968,0.05855,0.15000
0.5540,0.15160,0.06174,0.15000
0.6043,0.15446,0.06431,0.15000
0.6546,0.15685,0.06627,0.15000
0.7049,0.15791,0.06296,0.15000
0.7554,0.15911,0.05991,0.15000
0.8057,0.15965,0.04550,0.15000
0.8560,0.16134,0.04566,0.15000
0.9064,0.16304,0.04740,0.15000
0.9570,0.16494,0.05798,0.15000
1.0074,0.16666,0.05624,0.15000
1.0578,0.16866,0.05092,0.15000
1.1082,0.16821,0.05661,0.15000
1.1587,0.17039,0.05281,0.15000
1.2090,0.17035,0.04985,0.15000
1.2594,0.17012,0.04779,0.15000
1.3098,0.17054,0.04534,0.15000
1.3605,0.16998,0.03988,0.15000
1.4108,0.17050,0.04832,0.15000
1.4612,0.16940,0.04704,0.15000
1.5116,0.16829,0.04217,0.15000
1.5622,0.16695,0.03833,0.15000
1.6126,0.16512,0.02733,0.15000
1.6629,0.16425,0.02308,0.15000
1.7134,0.16284,0.03008,0.15000
1.7640,0.16096,0.04950,0.15000
1.8144,0.16131,0.06011,0.15000
1.8648,0.16158,0.05851,0.15000
1.9151,0.16272,0.06719,0.15000
1.9658,0.16324,0.07167,0.15000
2.0161,0.16175,0.07330,0.00000
2.0665,0.16042,0.07067,0.00000
2.1169,0.15970,0.08954,0.00000
2.1675,0.16039,0.08832,0.00000
2.2178,0.15901,0.09439,0.00000
2.2683,0.15851,0.09468,0.00000
2.3186,0.15683,0.08917,0.00000
2.3691,0.15630,0.08073,0.00000
2.4194,0.15340,0.08039,0.00000
2.4196,0.15285,0.07814,0.00000
2.4698,0.15239,0.06424,0.00000
2.5203,0.15293,0.07592,0.00000
2.5707,0.15139,0.07037,0.00000
2.6210,0.15226,0.06924,0.00000
2.6715,0.15299,0.06118,0.00000
2.7221,0.15225,0.05334,0.00000
2.7724,0.15160,0.05573,0.00000
2.8228,0.15197,0.06605,0.00000
2.8731,0.15175,0.08504,0.00000
2.9238,0.15204,0.06902,0.00000
2.9742,0.15222,0.07359,0.00000
3.0245,0.15227,0.07480,0.00000
3.0749,0.15287,0.08697,0.00000
3.1227,0.15299,0.07737,0.00000
3.1731,0.15266,0.08893,0.00000
3.2234,0.14386,0.06124,0.00000
3.2737,0.09201,-0.00965,0.00000
3.3240,0.06498,-0.01245,0.00000
3.3743,0.02035,-0.00427,0.00000
3.4246,0.00803,-0.00209,0.00000
3.4749,0.00179,-0.00471,0.00000
3.5253,0.00088,-0.00231,0.00000
3.5757,0.00030,-0.00079,0.00000
3.6260,0.00015,-0.00039,0.00000
3.6763,0.00005,-0.00013,0.00000
3.7266,0.00002,-0.00007,0.00000
3.7769,0.00001,-0.00002,0.00000
3.8273,0.00000,-0.00001,0.00000
3.8777,0.00000,-0.00000,0.00000
3.9280,0.00000,-0.00000,0.00000
3.9784,0.00000,-0.00000,0.00000
4.0288,0.00000,-0.00000,0.00000
