t_s,v_linear_mps,v_angular_radps,target
-0.4535,0.00000,0.00000,0.00000
-0.4031,0.00000,0.00000,0.00000
-0.3528,0.00000,0.00000,0.00000
-0.3024,0.00000,0.00000,0.00000
-0.2521,0.00000,0.00000,0.00000
-0.2017,0.00000,0.00000,0.00000
-0.1513,0.00000,0.00000,0.00000
-0.1010,0.00000,0.00000,0.00000
-0.0506,0.00000,0.00000,0.00000
-0.0003,0.00000,0.00000,0.00000
0.0501,0.00000,0.00000,2.00000
0.1005,0.00000,0.00000,2.00000
0.1509,0.00000,0.00000,2.00000
0.2012,0.00684,1.00354,2.00000
0.2516,0.01323,1.80965,2.00000
0.3020,0.02949,2.47413,2.00000
0.3525,0.04084,2.61511,2.00000
0.4028,0.05212,2.67445,2.00000
0.4531,0.05450,2.67623,2.00000
0.5034,0.04710,2.65798,2.00000
0.5539,0.03519,2.63910,2.00000
0.6042,0.01524,2.66826,2.00000
0.6545,0.00684,2.82362,2.00000
0.7049,0.01649,3.05815,2.00000
0.7555,0.03499,3.14685,2.00000
0.8059,0.05995,3.24326,2.00000
0.8563,0.05913,3.25351,2.00000
0.9067,0.03632,3.24013,2.00000
0.9573,0.01819,3.30781,2.00000
1.0077,0.00769,3.36986,2.00000
1.0580,0.01610,3.37195,2.00000
1.1084,0.04771,3.32389,2.00000
1.1590,0.06359,3.33917,2.00000
1.2094,0.05656,3.27885,2.00000
1.2598,0.03537,3.27038,2.00000
1.3101,0.00559,3.38340,2.00000
1.3608,-0.00080,3.45949,2.00000
1.4111,0.02043,3.39089,2.00000
1.4615,0.04314,3.37200,2.00000
1.5118,0.06142,3.36060,2.00000
1.5625,0.05506,3.30531,2.00000
1.6128,0.02554,3.24724,2.00000
1.6632,0.01017,3.32269,2.00000
1.7135,0.01407,3.30881,2.00000
1.7641,0.03460,3.26170,2.00000
1.8145,0.06437,3.25080,2.00000
1.8648,0.05827,3.20307,2.00000
1.9151,0.02169,3.15600,2.00000
1.9656,0.00189,3.25291,2.00000
2.0159,0.00297,3.33331,0.00000
2.0662,0.02733,3.27256,0.00000
2.1165,0.06831,3.32455,0.00000
2.1670,0.07763,3.28992,0.00000
2.2174,0.04610,3.15439,0.00000
2.2677,0.01585,3.22421,0.00000
2.3180,-0.01288,3.39628,0.00000
2.3687,-0.00682,3.41623,0.00000
2.4190,0.04353,3.30603,0.00000
2.4694,0.07776,3.34979,0.00000
2.5197,0.10215,3.33361,0.00000
2.5702,0.07879,3.26701,0.00000
2.6206,0.02098,3.32231,0.00000
2.6709,-0.00874,3.48710,0.00000
2.6711,-0.02064,3.59124,0.00000
2.7217,0.00582,3.49809,0.00000
2.7721,0.06770,3.45193,0.00000
2.8225,0.09532,3.52384,0.00000
2.8728,0.09419,3.43781,0.00000
2.9235,0.05644,3.33459,0.00000
2.9738,-0.00077,3.45095,0.00000
3.0242,-0.02351,3.54900,0.00000
3.0745,-0.01733,3.54803,0.00000
3.1251,0.02104,3.42563,0.00000
3.1753,0.09284,3.17816,0.00000
3.2256,0.14003,2.57330,0.00000
3.2760,0.12276,1.48392,0.00000
3.3262,0.07392,0.76758,0.00000
3.3765,0.02045,0.16784,0.00000
3.4268,0.00436,0.02583,0.00000
3.4772,0.00009,-0.03815,0.00000
3.5275,0.00141,-0.03237,0.00000
3.5779,0.00076,-0.01389,0.00000
3.6283,0.00037,-0.00681,0.00000
3.6786,0.00013,-0.00234,0.00000
3.7290,0.00006,-0.00114,0.00000
3.7794,0.00002,-0.00039,0.00000
3.8298,0.00001,-0.00019,0.00000
3.8801,0.00000,-0.00007,0.00000
3.9305,0.00000,-0.00003,0.00000
3.9809,0.00000,-0.00001,0.00000
4.0313,0.00000,-0.00001,0.00000
