t_s,v_linear_mps,v_angular_radps,target
-0.4532,-0.00000,-0.00000,0.00000
-0.4029,-0.00000,-0.00000,0.00000
-0.3526,-0.00000,-0.00000,0.00000
-0.3023,-0.00000,-0.00000,0.00000
-0.2520,-0.00000,-0.00000,0.00000
-0.2017,-0.00000,-0.00000,0.00000
-0.1514,-0.00000,-0.00000,0.00000
-0.1011,-0.00000,-0.00000,0.00000
-0.0506,-0.00000,-0.00000,0.00000
-0.0002,-0.00000,-0.00000,0.00000
0.0502,-0.00000,-0.00000,0.30000
0.1005,-0.00000,-0.00000,0.30000
0.1513,0.01828,0.01140,0.30000
0.2016,0.09938,0.05401,0.30000
0.2520,0.18612,0.08371,0.30000
0.3023,0.22629,0.08375,0.30000
0.3530,0.27007,0.07066,0.30000
0.4033,0.29347,0.05001,0.30000
0.4537,0.31526,0.05350,0.30000
0.5040,0.32321,0.07066,0.30000
0.5547,0.33017,0.09062,0.30000
0.6050,0.33406,0.09682,0.30000
0.6554,0.33652,0.09839,0.30000
0.7058,0.33734,0.09095,0.30000
0.7564,0.33865,0.04755,0.30000
0.8068,0.34032,0.02729,0.30000
0.8572,0.34219,0.03722,0.30000
0.9075,0.34286,0.05299,0.30000
0.9583,0.34192,0.09595,0.30000
1.0087,0.34153,0.12451,0.30000
1.0590,0.33799,0.13575,0.30000
1.1094,0.33572,0.12463,0.30000
1.1600,0.33224,0.08696,0.30000
1.2104,0.32942,0.06597,0.30000
1.2608,0.32690,0.06006,0.30000
1.3111,0.32469,0.05450,0.30000
1.3617,0.32293,0.06012,0.30000
1.4120,0.32234,0.06991,0.30000
1.4624,0.32265,0.11594,0.30000
1.5127,0.32277,0.13031,0.30000
1.5634,0.32268,0.13763,0.30000
1.6137,0.32205,0.10618,0.30000
1.6641,0.31954,0.06417,0.30000
1.7143,0.31874,0.05252,0.30000
1.7649,0.31908,0.06633,0.30000
1.8153,0.31948,0.08264,0.30000
1.8656,0.32031,0.08396,0.30000
1.9160,0.31912,0.10097,0.30000
1.9667,0.31762,0.13736,0.30000
2.0170,0.31568,0.15277,0.00000
2.0674,0.31536,0.14653,0.00000
2.1177,0.31475,0.13960,0.00000
2.1684,0.31191,0.13352,0.00000
2.2188,0.28661,0.09277,0.00000
2.2694,0.22991,0.02384,0.00000
2.3196,0.19045,-0.00769,0.00000
2.3699,0.12363,0.01275,0.00000
2.4203,0.07395,0.03360,0.00000
2.4706,0.02245,0.00981,0.00000
2.5210,0.00906,-0.01456,0.00000
2.5713,0.00283,-0.00779,0.00000
2.6217,0.00139,-0.00382,0.00000
2.6720,0.00048,-0.00131,0.00000
2.7224,0.00023,-0.00064,0.00000
2.7728,0.00008,-0.00022,0.00000
2.8231,0.00004,-0.00011,0.00000
2.8733,0.00001,-0.00004,0.00000
2.9237,0.00001,-0.00002,0.00000
2.9742,0.00000,-0.00001,0.00000
3.0245,0.00000,-0.00000,0.00000
